"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5448","TC-SEOS-00: page links resolve 200/30x; broken links are logged, not failed","SEO structure - Buses [popularBuses] [ta] — Popular Buses","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-TYRSEO-02
**Title:** Read More expands About content on Latest Truck Tyres
**Language:** en

**Description:**
Click Read More on the Latest Truck Tyres About block and confirm Read Less is shown.

**Expected Result:**
The About block expands and Read Less is visible.

**Steps:**
1. Open Latest Truck Tyres About block
2. Click Read More
3. Verify Read Less","1957","TC-TYRSEO-02: Read More expands About content on Latest Truck Tyres","SEO - TyresSeoContent [latestTruckTyres] [en] [desktop] — Latest Truck Tyres","2026-09-04","passed","2026-09-04","","","",""
"","9196","TC-SEOS-00: page links resolve 200/30x; broken links are logged, not failed","SEO structure - Buses [tataBuses] [ta] — Tata Buses","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-NTPDP-06
**Title:** Hero heading and primary CTAs for Eka 3W Cargo
**Language:** en

**Description:**
Confirm the product H1 and primary CTAs (Get On Road Price, Check Offers) on Eka 3W Cargo.

**Expected Result:**
H1 matches the product name; Get On Road Price and Check Offers are visible.

**Steps:**
1. Open PDP and close launch lead
2. Verify H1
3. Verify Get On Road Price and Check Offers","201","TC-NTPDP-06: Hero heading and primary CTAs for Eka 3W Cargo","PDP - NewTruckPdp [leastPopular] [en] — Eka 3W Cargo","2026-09-04","passed","2026-09-04","","Page blocks (same session)","",""
"","6935","TC-SEOS-00: page links resolve 200/30x; broken links are logged, not failed","SEO structure - UsedTruck [sellUsedTrucks] [hi] — Sell Used Trucks","2026-09-04","passed","2026-09-04","","","",""
"**Test Case ID:** TC-PTB-02
**Title:** All popular brand cards show name, logo, title and brand URL
**Language:** hi

**Description:**
In the Popular Truck Brands section, verify every brand card shown on this device displays the brand name, logo image, accessible title, and link to that brand’s page. Desktop shows 12 brands; mobile shows the first 6 of that same list (the extra cards are not in the page at all on mobile).

**Expected Result:**
Each brand the current device actually displays appears once with the correct visible name, logo, title attribute, and href pointing to the brand page for that language. The number of cards matches this device (12 on desktop, 6 on mobile).

**Steps:**
1. Open the Popular Truck Brands section
2. For each brand shown on this device, verify name, logo, title and URL
3. Confirm the total number of brand cards matches this device, not the other device’s count","1248","TC-PTB-02: all popular brand cards show name, logo, title and brand URL","Homepage - PopularTruckBrands [hi]","2026-09-04","passed","2026-09-04","","","",""
"**Test Case ID:** TC-NTPDP-03
**Title:** Get Offers lead submits successfully for Tata Yodha 2.0
**Language:** en

**Description:**
Fill name, mobile and city on the open Get Offers lead for Tata Yodha 2.0 and submit.

**Expected Result:**
User sees the thank-you confirmation after submitting Get Offers.

**Steps:**
1. On the same launch Get Offers lead after validation
2. Enter name, mobile and city
3. Click Get Offers
4. Verify thank-you message","4454","TC-NTPDP-03: Get Offers lead submits successfully for Tata Yodha 2.0","PDP - NewTruckPdp [mostPopular] [en] — Tata Yodha 2.0","2026-09-04","passed","2026-09-04","","","",""
"","3328","TC-SRT-10: switches tabs and updates select placeholders","Homepage - SearchRightTruck [ta]","2026-09-04","passed","2026-09-04","","","",""
"","14675","TC-SEOS-00: page links resolve 200/30x; broken links are logged, not failed","SEO structure - CategoryPages [ashokLeylandBrand] [hi] — Ashok Leyland Trucks","2026-09-03","passed","2026-09-03","","","",""
"**Test Case ID:** TC-SEOS-01
**Title:** Heading structure on Buy Used Trucks [en] matches the stored snapshot
**Language:** en

**Description:**
Open Buy Used Trucks (en) and compare live SEO headings with the snapshot. Allure and artifacts/seo-structure-report.xlsx show expected vs actual so a changed heading can be copied into test data after it is confirmed.

**Expected Result:**
Every stored heading on Buy Used Trucks (en) is still present with the same tag. Extra or missing headings fail the check; order on the page may differ.

**Steps:**
1. Open Buy Used Trucks (en)
2. Expand Read More if the About block is collapsed
3. Compare live headings with the stored snapshot","796","TC-SEOS-01: heading structure on Buy Used Trucks [en] matches the stored snapshot","SEO structure - UsedTruck [buyUsedTrucks] [en] — Buy Used Trucks","2026-09-04","passed","2026-09-04","","","",""
