"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"**Test Case ID:** TC-TYRL-03
**Title:** A second Load More still adds tyre cards on Continental Tyres
**Language:** en

**Description:**
Click Load More once on Continental Tyres, then again if it is still shown, and confirm the card list keeps growing.

**Expected Result:**
The first Load More adds cards. If Load More remains, a second click adds still more cards.

**Steps:**
1. Open Continental Tyres
2. Click Load More and verify more cards
3. Click Load More again if it is still shown","1503","TC-TYRL-03: a second Load More still adds tyre cards on Continental Tyres","UtilityPages - TyresListing [continentalTyres] [en] [mobile] — Continental Tyres","2026-09-05","passed","2026-09-05","","","",""
"**Test Case ID:** TC-LMC-02
**Title:** First product name on default tab navigates to truck PDP
**Language:** en

**Description:**
On the default category tab, click the first visible truck product name and confirm the truck product detail page opens.

**Expected Result:**
The browser URL matches that product’s truck PDP path for the selected language.

**Steps:**
1. Open Latest Models by Category
2. Click the first visible product name on the active tab
3. Verify the URL is the matching truck PDP","6054","TC-LMC-02: first product name on default tab navigates to truck PDP","Homepage - LatestModelsByCategory [en]","2026-09-04","passed","2026-09-04","","","",""
"**Test Case ID:** TC-CL-04
**Title:** Call Now assistance lead submits successfully on LNG Trucks
**Language:** en

**Description:**
Open the LNG Trucks page, click the ""Still confused?"" widget's Call Now button to open the assistance lead form, fill model, name, mobile and city, and submit.

**Expected Result:**
The assistance form closes after a successful submission.

**Steps:**
1. Open the LNG Trucks page
2. Click Call Now to open the assistance lead form
3. Fill model, name, mobile and city
4. Submit and verify the assistance form closes","11178","TC-CL-04: Call Now assistance lead submits successfully on LNG Trucks","CategoryPages - CategoryListing [lng] [en] — LNG Trucks","2026-09-04","passed","2026-09-04","","","",""
"**Test Case ID:** TC-PSH-04
**Title:** View All Used Trucks link does not reuse a product card's URL
**Language:** ta

**Description:**
Confirm the View All Used Trucks link does not accidentally point at the first product card's PDP URL.

**Expected Result:**
View All Used Trucks and the first product card link to different URLs.

**Steps:**
1. Open Popular Second Hand Truck
2. Verify View All's href differs from the first product's href","3694","TC-PSH-04: View All Used Trucks link does not reuse a product card's URL","Homepage - PopularSecondHandTruck [ta]","2026-09-04","passed","2026-09-04","","","",""
"","946","TC-CL-04: Call Now assistance lead submits successfully on Tempo Traveller","CategoryPages - CategoryListing [tempoTraveller] [en] — Tempo Traveller","2026-09-04","skipped","2026-09-04","","","",""
"**Test Case ID:** TC-SEOS-03
**Title:** None of the stored headings are missing on Trailers [hi]
**Language:** hi

**Description:**
Confirm every heading stored for Trailers (hi) still exists on the live page.

**Expected Result:**
No stored heading is missing on Trailers (hi).

**Steps:**
1. Open Trailers (hi)
2. Check each stored heading is still on the page","934","TC-SEOS-03: none of the stored headings are missing on Trailers [hi]","SEO structure - CategoryPages [trailers] [hi] — Trailers","2026-09-04","passed","2026-09-04","","","",""
"**Test Case ID:** TC-TYRSEO-02
**Title:** Read More expands About content on Goodyear Tyres
**Language:** en

**Description:**
Click Read More on the Goodyear Tyres About block and confirm Read Less is shown.

**Expected Result:**
The About block expands and Read Less is visible.

**Steps:**
1. Open Goodyear Tyres About block
2. Click Read More
3. Verify Read Less","870","TC-TYRSEO-02: Read More expands About content on Goodyear Tyres","SEO - TyresSeoContent [goodyearTyres] [en] [desktop] — Goodyear Tyres","2026-09-05","passed","2026-09-05","","","",""
"","12768","TC-SEOS-00: page links resolve 200/30x; broken links are logged, not failed","SEO structure - PDP [yodhaVideos] [hi] — Tata Yodha 2.0 Videos","2026-09-05","passed","2026-09-05","","","",""
"","5025","TC-SEOS-00: page links resolve 200/30x; broken links are logged, not failed","SEO structure - UtilityPages [webStory] [ta] — Web Story","2026-09-05","passed","2026-09-05","","","",""
"**Test Case ID:** TC-SEOS-03
**Title:** None of the stored headings are missing on 6 Wheeler [hi]
**Language:** hi

**Description:**
Confirm every heading stored for 6 Wheeler (hi) still exists on the live page.

**Expected Result:**
No stored heading is missing on 6 Wheeler (hi).

**Steps:**
1. Open 6 Wheeler (hi)
2. Check each stored heading is still on the page","9850","TC-SEOS-03: none of the stored headings are missing on 6 Wheeler [hi]","SEO structure - CategoryPages [sixWheeler] [hi] — 6 Wheeler","2026-09-05","passed","2026-09-05","","","",""
