"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16816","TC-SEOS-00: page links resolve 200/30x; broken links are logged, not failed","SEO structure - Brochure [brochure] [hi] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-BUS-02
**Title:** Lead form shows required validation when submitted empty on New Buses
**Language:** en

**Description:**
Open the New Buses page, open the lead form via ""Check Bus Price"", and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the New Buses page
2. Click ""Check Bus Price"" to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","1727","TC-BUS-02: lead form shows required validation when submitted empty on New Buses","Buses - BusListing [newBuses] [en] — New Buses","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-03
**Title:** None of the stored headings are missing on Brochure [ta]
**Language:** ta

**Description:**
Confirm every heading stored for Brochure (ta) still exists on the live page.

**Expected Result:**
No stored heading is missing on Brochure (ta).

**Steps:**
1. Open Brochure (ta)
2. Check each stored heading is still on the page","3470","TC-SEOS-03: none of the stored headings are missing on Brochure [ta]","SEO structure - Brochure [brochure] [ta] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-02
**Title:** FAQ questions on Brochure [en] match the stored snapshot
**Language:** en

**Description:**
Compare the FAQ heading and questions on Brochure (en) with the stored snapshot. Pages with no FAQ must still have none.

**Expected Result:**
FAQ heading and questions on Brochure (en) are unchanged.

**Steps:**
1. Open Brochure (en)
2. Read the FAQ block
3. Compare with the stored snapshot","2415","TC-SEOS-02: FAQ questions on Brochure [en] match the stored snapshot","SEO structure - Brochure [brochure] [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-02
**Title:** FAQ questions on New Buses [en] match the stored snapshot
**Language:** en

**Description:**
Compare the FAQ heading and questions on New Buses (en) with the stored snapshot. Pages with no FAQ must still have none.

**Expected Result:**
FAQ heading and questions on New Buses (en) are unchanged.

**Steps:**
1. Open New Buses (en)
2. Read the FAQ block
3. Compare with the stored snapshot","740","TC-SEOS-02: FAQ questions on New Buses [en] match the stored snapshot","SEO structure - Buses [newBuses] [en] — New Buses","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-02
**Title:** FAQ questions on Brochure [ta] match the stored snapshot
**Language:** ta

**Description:**
Compare the FAQ heading and questions on Brochure (ta) with the stored snapshot. Pages with no FAQ must still have none.

**Expected Result:**
FAQ heading and questions on Brochure (ta) are unchanged.

**Steps:**
1. Open Brochure (ta)
2. Read the FAQ block
3. Compare with the stored snapshot","1309","TC-SEOS-02: FAQ questions on Brochure [ta] match the stored snapshot","SEO structure - Brochure [brochure] [ta] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-04
**Title:** Heading count on Brochure [hi] still matches the snapshot
**Language:** hi

**Description:**
Confirm Brochure (hi) still has the same number of SEO headings as the snapshot.

**Expected Result:**
Brochure (hi) still has 14 SEO headings.

**Steps:**
1. Open Brochure (hi)
2. Count SEO headings
3. Compare with the snapshot count","2029","TC-SEOS-04: heading count on Brochure [hi] still matches the snapshot","SEO structure - Brochure [brochure] [hi] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-04
**Title:** Heading count on Brochure [ta] still matches the snapshot
**Language:** ta

**Description:**
Confirm Brochure (ta) still has the same number of SEO headings as the snapshot.

**Expected Result:**
Brochure (ta) still has 14 SEO headings.

**Steps:**
1. Open Brochure (ta)
2. Count SEO headings
3. Compare with the snapshot count","5025","TC-SEOS-04: heading count on Brochure [ta] still matches the snapshot","SEO structure - Brochure [brochure] [ta] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-03
**Title:** None of the stored headings are missing on New Buses [en]
**Language:** en

**Description:**
Confirm every heading stored for New Buses (en) still exists on the live page.

**Expected Result:**
No stored heading is missing on New Buses (en).

**Steps:**
1. Open New Buses (en)
2. Check each stored heading is still on the page","3868","TC-SEOS-03: none of the stored headings are missing on New Buses [en]","SEO structure - Buses [newBuses] [en] — New Buses","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-BR-03
**Title:** Download Brochure lead submits successfully from the ""Upcoming"" tab on Brochure
**Language:** en

**Description:**
Open the Brochure page, switch the ""Best Selling Trucks"" carousel to the ""Upcoming"" tab, click a card's Download Brochure button to open its lead form (the same shared Check Offers modal used elsewhere on the page), fill name, mobile and city, and submit. Every tab is its own entry point even though all tabs open the same underlying form.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the Brochure page
2. Switch the Best Selling Trucks carousel to the ""Upcoming"" tab
3. Click a card's Download Brochure button to open its lead form
4. Fill name, mobile and city
5. Submit and verify Thank You confirmation","9947","TC-BR-03: Download Brochure lead submits successfully from the ""Upcoming"" tab on Brochure","Brochure - Brochure [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
