"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"**Test Case ID:** TC-PSH-02
**Title:** First used-truck product name navigates to used PDP
**Language:** hi

**Description:**
Click the first visible used-truck product name in Popular Second Hand Truck and confirm the used-truck detail page opens.

**Expected Result:**
The browser URL matches that listing’s used-truck PDP path for the selected language.

**Steps:**
1. Open Popular Second Hand Truck
2. Click the first visible product name
3. Verify the URL is the matching used-truck PDP","1955","TC-PSH-02: first used-truck product name navigates to used PDP","Homepage - PopularSecondHandTruck [hi]","2026-09-06","passed","2026-09-06","","","",""
"**Test Case ID:** TC-TBR-02
**Title:** Check Truck Price lead form shows required validation when submitted empty on Mahindra Trucks
**Language:** en

**Description:**
Open the Mahindra Trucks page, open Check Truck Price, and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the Mahindra Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","3841","TC-TBR-02: Check Truck Price lead form shows required validation when submitted empty on Mahindra Trucks","CategoryPages - CategoryListingBrands [mahindraBrand] [en] — Mahindra Trucks","2026-09-06","passed","2026-09-06","","","",""
"**Test Case ID:** TC-SEOS-03
**Title:** None of the stored headings are missing on Brand And Tonnage [en]
**Language:** en

**Description:**
Confirm every heading stored for Brand And Tonnage (en) still exists on the live page.

**Expected Result:**
No stored heading is missing on Brand And Tonnage (en).

**Steps:**
1. Open Brand And Tonnage (en)
2. Check each stored heading is still on the page","650","TC-SEOS-03: none of the stored headings are missing on Brand And Tonnage [en]","SEO structure - UtilityPages [brandAndTonnage] [en] — Brand And Tonnage","2026-09-07","passed","2026-09-07","","","",""
"","11585","TC-CL-00: page links resolve 200/30x; broken links are logged, not failed","CategoryPages - CategoryListing [hydrogen] [en] — Hydrogen Trucks","2026-09-06","passed","2026-09-06","","","",""
"**Test Case ID:** TC-SEOS-04
**Title:** Heading count on About Us [ta] still matches the snapshot
**Language:** ta

**Description:**
Confirm About Us (ta) still has the same number of SEO headings as the snapshot.

**Expected Result:**
About Us (ta) still has 2 SEO headings.

**Steps:**
1. Open About Us (ta)
2. Count SEO headings
3. Compare with the snapshot count","658","TC-SEOS-04: heading count on About Us [ta] still matches the snapshot","SEO structure - UtilityPages [aboutUs] [ta] — About Us","2026-09-07","passed","2026-09-07","","","",""
"**Test Case ID:** TC-SEOS-04
**Title:** Heading count on Tata Yodha 2.0 Price in Gurgaon [en] still matches the snapshot
**Language:** en

**Description:**
Confirm Tata Yodha 2.0 Price in Gurgaon (en) still has the same number of SEO headings as the snapshot.

**Expected Result:**
Tata Yodha 2.0 Price in Gurgaon (en) still has 10 SEO headings.

**Steps:**
1. Open Tata Yodha 2.0 Price in Gurgaon (en)
2. Count SEO headings
3. Compare with the snapshot count","760","TC-SEOS-04: heading count on Tata Yodha 2.0 Price in Gurgaon [en] still matches the snapshot","SEO structure - PDP [yodhaPriceGurgaon] [en] — Tata Yodha 2.0 Price in Gurgaon","2026-09-07","failed","2026-09-07","","","",""
"**Test Case ID:** TC-SEOS-01
**Title:** Heading structure on HCV [hi] matches the stored snapshot
**Language:** hi

**Description:**
Open HCV (hi) and compare live SEO headings with the snapshot. Allure and artifacts/seo-structure-report.xlsx show expected vs actual so a changed heading can be copied into test data after it is confirmed.

**Expected Result:**
Every stored heading on HCV (hi) is still present with the same tag. Extra or missing headings fail the check; order on the page may differ.

**Steps:**
1. Open HCV (hi)
2. Expand Read More if the About block is collapsed
3. Compare live headings with the stored snapshot","3451","TC-SEOS-01: heading structure on HCV [hi] matches the stored snapshot","SEO structure - CategoryPages [hcv] [hi] — HCV","2026-09-06","passed","2026-09-06","","","",""
"**Test Case ID:** TC-SEOS-03
**Title:** None of the stored headings are missing on Tata Buses [hi]
**Language:** hi

**Description:**
Confirm every heading stored for Tata Buses (hi) still exists on the live page.

**Expected Result:**
No stored heading is missing on Tata Buses (hi).

**Steps:**
1. Open Tata Buses (hi)
2. Check each stored heading is still on the page","690","TC-SEOS-03: none of the stored headings are missing on Tata Buses [hi]","SEO structure - Buses [tataBuses] [hi] — Tata Buses","2026-09-06","passed","2026-09-06","","","",""
"**Test Case ID:** TC-SEOS-02
**Title:** FAQ questions on Popular Truck Series [en] match the stored snapshot
**Language:** en

**Description:**
Compare the FAQ heading and questions on Popular Truck Series (en) with the stored snapshot. Pages with no FAQ must still have none.

**Expected Result:**
FAQ heading and questions on Popular Truck Series (en) are unchanged.

**Steps:**
1. Open Popular Truck Series (en)
2. Read the FAQ block
3. Compare with the stored snapshot","804","TC-SEOS-02: FAQ questions on Popular Truck Series [en] match the stored snapshot","SEO structure - UtilityPages [truckSeries] [en] — Popular Truck Series","2026-09-07","passed","2026-09-07","","","",""
"**Test Case ID:** TC-TYRSEO-01
**Title:** About content is visible with Read More on Dunlop Tyres
**Language:** en

**Description:**
Open Dunlop Tyres and confirm the About / description SEO block shows its heading, collapsed copy, and Read More.

**Expected Result:**
“About Dunlop Tyres In India” is visible with Read More and the collapsed About text.

**Steps:**
1. Open Dunlop Tyres
2. Scroll to the About / description block
3. Verify heading, collapsed copy and Read More","1971","TC-TYRSEO-01: About content is visible with Read More on Dunlop Tyres","SEO - TyresSeoContent [dunlopTyres] [en] [desktop] — Dunlop Tyres","2026-09-07","passed","2026-09-07","","","",""
"**Test Case ID:** TC-PDPI-01
**Title:** Check Offers lead submits successfully on Tata Yodha 2.0 Reviews
**Language:** en

**Description:**
Open Tata Yodha 2.0 Reviews, click “Check Offers”, fill name, mobile and city, and submit.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission. The submitted name is testqa.

**Steps:**
1. Open Tata Yodha 2.0 Reviews
2. Click Check Offers
3. Fill name, mobile and city
4. Submit and verify Thank You","4512","TC-PDPI-01: Check Offers lead submits successfully on Tata Yodha 2.0 Reviews","PDP - NewTruckInternalPages [yodhaReview] [en] — Tata Yodha 2.0 Reviews","2026-09-07","passed","2026-09-07","","","",""
"**Test Case ID:** TC-SEOS-01
**Title:** Heading structure on Popular Truck [en] matches the stored snapshot
**Language:** en

**Description:**
Open Popular Truck (en) and compare live SEO headings with the snapshot. Allure and artifacts/seo-structure-report.xlsx show expected vs actual so a changed heading can be copied into test data after it is confirmed.

**Expected Result:**
Every stored heading on Popular Truck (en) is still present with the same tag. Extra or missing headings fail the check; order on the page may differ.

**Steps:**
1. Open Popular Truck (en)
2. Expand Read More if the About block is collapsed
3. Compare live headings with the stored snapshot","1245","TC-SEOS-01: heading structure on Popular Truck [en] matches the stored snapshot","SEO structure - ListingPages [popularTrucks] [en] — Popular Truck","2026-09-07","failed","2026-09-07","","","",""
"**Test Case ID:** TC-SEOS-04
**Title:** Heading count on SCV [hi] still matches the snapshot
**Language:** hi

**Description:**
Confirm SCV (hi) still has the same number of SEO headings as the snapshot.

**Expected Result:**
SCV (hi) still has 15 SEO headings.

**Steps:**
1. Open SCV (hi)
2. Count SEO headings
3. Compare with the snapshot count","978","TC-SEOS-04: heading count on SCV [hi] still matches the snapshot","SEO structure - CategoryPages [scv] [hi] — SCV","2026-09-06","passed","2026-09-06","","","",""
